text,pmid,title
"ABSTRACT: Growing evidence underscores the critical role of lipid metabolism in the pathogenesis of Alzheimer's disease (AD). We previously demonstrated that 5xFAD mice exhibit a marked accumulation of ganglioside GM3 in the cerebral cortex and hippocampus as the disease progresses, with this increase being more pronounced in females than in males. However, the specific brain cell types exhibiting elevated GM3 accumulation, along with GM3's underlying molecular mechanisms and functional signific",41651693,Microglial GM3 accumulation impairs Aβ phagocytic activity and promotes neuroinflammation in Alzheimer's disease.
"elevated GM3 accumulation, along with GM3's underlying molecular mechanisms and functional significance in AD pathogenesis, remain to be fully elucidated. Here, we report that elevated GM3 levels in 5xFAD are associated with increased expression of Hexa and Hexb-which encode the α- and β-subunits, respectively, of lysosomal β-hexosaminidase A (HexA), the enzyme that catalyzes the conversion of GM2 to GM3 within lysosomes-but not with St3gal5. Analysis of a publicly available single-nucleus RNA",41651693,Microglial GM3 accumulation impairs Aβ phagocytic activity and promotes neuroinflammation in Alzheimer's disease.
"2 to GM3 within lysosomes-but not with St3gal5. Analysis of a publicly available single-nucleus RNA sequencing dataset from 5xFAD mice revealed that Hexa and Hexb are highly expressed in microglial cells, with their expression considerably upregulated in these cells compared to other brain cell types. Functional studies demonstrated that overexpression of Hexa and Hexb in microglial cells results in lysosomal GM3 accumulation, impaired Aβ phagocytosis, and increased production of proinflammatory",41651693,Microglial GM3 accumulation impairs Aβ phagocytic activity and promotes neuroinflammation in Alzheimer's disease.
"in lysosomal GM3 accumulation, impaired Aβ phagocytosis, and increased production of proinflammatory cytokines. Conversely, microglia-specific knockdown of Hexa and Hexb using AA5-microRNA30-based shRNAs not only enhances cognitive function but also alleviates Aβ pathology and neuroinflammation in 5xFAD mice. Collectively, these findings implicate HexA-driven GM3 accumulation in microglia as a key contributor to impaired Aβ clearance and heightened neuroinflammation in AD, highlighting HexA as a",41651693,Microglial GM3 accumulation impairs Aβ phagocytic activity and promotes neuroinflammation in Alzheimer's disease.
"contributor to impaired Aβ clearance and heightened neuroinflammation in AD, highlighting HexA as a potential therapeutic target for restoring microglial function and mitigating disease progression.",41651693,Microglial GM3 accumulation impairs Aβ phagocytic activity and promotes neuroinflammation in Alzheimer's disease.
"ABSTRACT: Toll-like receptor 9 (TLR9), expressed in both microglia and neurons of the CNS, represents a promising therapeutic target for Alzheimer's disease (AD). While either microglial or neuronal TLR9 activation exerts neuroprotective effects that ameliorate AD pathology and preserve cognitive function, CpG oligodeoxynucleotides (ODNs), the synthetic agonists, cannot cross the blood-brain barrier (BBB). To overcome this, we developed tNCpG, an apolipoprotein E (ApoE)-functionalized polymersom",41651379,ApoE-directed CpG nano-immunoadjuvant ameliorates Alzheimer's-like pathology in mice.
"er (BBB). To overcome this, we developed tNCpG, an apolipoprotein E (ApoE)-functionalized polymersome nanocarrier for brain-targeted delivery of CpG ODNs. APP/PS1 transgenic mice, which overexpress human mutant APP/PS1 and are widely used in AD mouse models for preclinical studies, were administered tNCpG intravenously biweekly for 3 months, starting at 4 months of age. tNCpG achieved efficient brain delivery while specifically targeting microglia and neurons. tNCpG treatment enhanced microglial",41651379,ApoE-directed CpG nano-immunoadjuvant ameliorates Alzheimer's-like pathology in mice.
"ain delivery while specifically targeting microglia and neurons. tNCpG treatment enhanced microglial recruitment to and phagocytosis of Aβ plaques, suppressed Aβ production while promoting its degradation, and improved BBB integrity and Aβ efflux. Collectively, these effects significantly reduced cerebral Aβ burden, neuroinflammation, and neurodegeneration, leading to the rescue of cognitive deficits. Our study establishes targeted TLR9 activation via tNCpG as a disease-modifying therapeutic str",41651379,ApoE-directed CpG nano-immunoadjuvant ameliorates Alzheimer's-like pathology in mice.
its. Our study establishes targeted TLR9 activation via tNCpG as a disease-modifying therapeutic strategy for AD.,41651379,ApoE-directed CpG nano-immunoadjuvant ameliorates Alzheimer's-like pathology in mice.
"ABSTRACT: Increasing attention has been directed towards the perturbation of glutamate (Glu) and γ-aminobutyric acid (GABA) homeostasis during the pathogenesis of Alzheimer's disease (AD). The prevailing disequilibrium, stemming from hyperactivation of the glutamatergic system, culminates in progressive neuronal impairment and cognitive deterioration. This study aimed to elucidate the contributory role of the ATP-binding cassette transporter A7 (ABCA7), identified as the second most critical gen",41651103,ABCA7 deficiency exacerbates glutamate excitotoxicity in Alzheimer's disease mice - a new pharmacological target for Glu-related neurotoxicity.
"role of the ATP-binding cassette transporter A7 (ABCA7), identified as the second most critical genetic determinant in AD, in glutamatergic-associated neurotoxicity. This endeavor sought to advance molecular comprehension of neurological disorders where Glu-GABA neurotransmission represents a pivotal pharmacotherapeutic target. Utilizing multi-omics approaches, we rigorously analyzed four distinct mouse models, both with and without APPtg and ABCA7 expression, to simulate varied pathological an",41651103,ABCA7 deficiency exacerbates glutamate excitotoxicity in Alzheimer's disease mice - a new pharmacological target for Glu-related neurotoxicity.
"t mouse models, both with and without APPtg and ABCA7 expression, to simulate varied pathological and ABCA7-deficient states. Our results revealed amyloid-beta (Aβ) deposition as a catalyst for surging glutamatergic transmission. Notably, ABCA7 ablation exacerbated glutamatergic-induced neurotoxicity, attributed to diminished enzymatic activity related to neurotransmitter degradation and amplified expression levels of specific neurotransmitter transport proteins and receptor subunits, notably NM",41651103,ABCA7 deficiency exacerbates glutamate excitotoxicity in Alzheimer's disease mice - a new pharmacological target for Glu-related neurotoxicity.
"expression levels of specific neurotransmitter transport proteins and receptor subunits, notably NMDA, AMPA, and GABAA. These findings furnish the first comprehensive description elucidating ABCA7's amplification of neurotoxic effects through modulation of Glu-GABA neurotransmission systems in neurodegenerative contexts, primarily mediated by lipid interaction. The evidence underscores ABCA7's imperative role in shaping future pharmacological strategies aimed at counteracting neurodegeneration",41651103,ABCA7 deficiency exacerbates glutamate excitotoxicity in Alzheimer's disease mice - a new pharmacological target for Glu-related neurotoxicity.
perative role in shaping future pharmacological strategies aimed at counteracting neurodegeneration precipitated by Glu-mediated neurotoxicity. This research advances the frontier for therapeutic exploration to ameliorate the deleterious neural consequences characteristic of neurodegenerative pathologies.,41651103,ABCA7 deficiency exacerbates glutamate excitotoxicity in Alzheimer's disease mice - a new pharmacological target for Glu-related neurotoxicity.
ABSTRACT: Alzheimer's disease (AD) shows marked molecular heterogeneity. Defining biological subtypes may refine diagnosis and treatment.,41650025,Proteomics reveals three molecular subtypes of Alzheimer's disease with distinct progression patterns.
"ABSTRACT: Neuroregeneration has drawn scientific attention due to its therapeutic potential for neurodegenerative diseases such as Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), and traumatic brain injury (TBI). A major obstacle in delivering neuroregenerative and neuroprotective drugs is crossing the blood-brain barrier (BBB)-a selective, physiological barrier that protects the central nervous system (CNS) from circulating toxins and pathogens. While this protect",41649131,Translational roadmap of BBB-targeted nanoparticle strategies for neuroregenerative therapy in neurodegenerative diseases.
"protects the central nervous system (CNS) from circulating toxins and pathogens. While this protective role is essential for maintaining CNS homeostasis, it also limits therapeutic efficacy and increases the risk of systemic side effects due to off-target accumulation. To overcome these challenges, recent advances in nanoparticle engineering have focused on enhancing BBB transcytosis by employing biologically inspired surface modifications. In this review, we highlight three mechanistically dis",41649131,Translational roadmap of BBB-targeted nanoparticle strategies for neuroregenerative therapy in neurodegenerative diseases.
"biologically inspired surface modifications. In this review, we highlight three mechanistically distinct approaches: (1) transporter-mediated transcytosis (TMT), which uses glucose or amino acid conjugation; (2) receptor-mediated transcytosis (RMT) via ligands such as transferrin or angiopep-2; and (3) adsorptive-mediated transcytosis (AMT), utilizing cationic polymer coatings or cell-penetrating peptides (CPPs).",41649131,Translational roadmap of BBB-targeted nanoparticle strategies for neuroregenerative therapy in neurodegenerative diseases.
peptides (CPPs).,41649131,Translational roadmap of BBB-targeted nanoparticle strategies for neuroregenerative therapy in neurodegenerative diseases.
"ABSTRACT: Alzheimer's disease (AD) and related dementias are rapidly increasing in prevalence, yet disease-modifying therapies remain largely focused on amyloid-β (Aβ) with limited efficacy against tau pathology and neuroinflammation-key drivers of neurodegeneration and clinical decline. Dual-specificity tyrosine-phosphorylation-regulated kinase 1a (Dyrk1a) phosphorylates tau and amyloid precursor protein and regulates inflammatory signaling, positioning it as a convergence point across pathogen",41648480,"Dyrk1a inhibition with the Novel Compound DYR533: A Cross-Disease Therapeutic Strategy Targeting Amyloidosis, Tau Pathogenesis, and Neuroinflammation."
"protein and regulates inflammatory signaling, positioning it as a convergence point across pathogenic pathways. We show that brain Dyrk1a protein levels are consistently elevated across ADRDs, replicating findings in AD, confirming prior observations in Pick's disease, and demonstrating dysregulation in corticobasal degeneration and progressive supranuclear palsy. We developed DYR533, a selective, orally bioavailable, brain-penetrant Type 1 Dyrk1a kinase inhibitor that also inhibits autophospho",41648480,"Dyrk1a inhibition with the Novel Compound DYR533: A Cross-Disease Therapeutic Strategy Targeting Amyloidosis, Tau Pathogenesis, and Neuroinflammation."
", orally bioavailable, brain-penetrant Type 1 Dyrk1a kinase inhibitor that also inhibits autophosphorylation and reduces kinase abundance. Across three mouse models (3xTg-AD, PS19, Ts65Dn), DYR533 reduced pathological tau hyperphosphorylation, attenuated neuroinflammation, ameliorated amyloidosis, and improved anxiety-like behavior and spatial memory, collectively supporting Dyrk1a inhibition and DYR533 as a therapeutic strategy for ADRD.",41648480,"Dyrk1a inhibition with the Novel Compound DYR533: A Cross-Disease Therapeutic Strategy Targeting Amyloidosis, Tau Pathogenesis, and Neuroinflammation."
DYR533 as a therapeutic strategy for ADRD.,41648480,"Dyrk1a inhibition with the Novel Compound DYR533: A Cross-Disease Therapeutic Strategy Targeting Amyloidosis, Tau Pathogenesis, and Neuroinflammation."
"ABSTRACT: Alzheimer's disease (AD) remains without effective disease-modifying therapies, underscoring the need for interventions that target interconnected molecular and cellular processes driving cognitive decline. Leveraging a cross-species translational framework integrating a progressive rat model of Alzheimer's disease with human iPSC-derived neurons carrying familial AD mutations, we identify agomelatine (AGO) as a disease-modifying candidate. A clinically used melatonergic agonist and 5-",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"fy agomelatine (AGO) as a disease-modifying candidate. A clinically used melatonergic agonist and 5-HT 2C serotonergic antagonist, we found that AGO acts as a sex-selective modulator of AD-related neuronal and microglial dysfunction with therapeutic relevance across species. TgF344-AD rats and their wildtype littermates received chronic dietary AGO (∼10 mg/kg/day) from 5 to 11 months of age and underwent hippocampal-dependent spatial learning assessment, quantitative hippocampal histopathology,",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"derwent hippocampal-dependent spatial learning assessment, quantitative hippocampal histopathology, and bulk RNA sequencing to evaluate the therapeutic effect on cognition, pathology, and molecular mechanisms. Human isogenic iPSC-derived cortical neurons carrying PSEN2 N141I or APPV 717I mutations were treated with 20 µM AGO followed by bulk RNA sequencing, to define AGO-driven transcriptional pathway modulation in AD neurons In TgF344-AD rats, AGO produced robust female-specific benefits. AGO s",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"hway modulation in AD neurons In TgF344-AD rats, AGO produced robust female-specific benefits. AGO selectively restored hippocampal-dependant cognitive performance in female but not male transgenic rats. These improvements were independent of amyloid burden and instead aligned with reductions in microgliosis and pathogenic AT8-positive tau phosphorylation. Additionally, AGO normalized reactive and amoeboid microglial states exclusively in females and enhanced doublecortin-defined neurogenesis wi",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
